Location ID,Date,Card Type,Exp Type,Gender,Amount,Age
127,21-Aug-21,Gold,Medical,F,486949,21
397,23-Dec-21,Gold,Medical,F,333483,29
9,08-Jan-22,Platinum,Medical,F,612572,22
72,16-May-22,Silver,Medical,F,327244,31
9,02-Dec-21,Silver,Medical,F,955468,28
397,17-Nov-21,Gold,Medical,F,927864,24
127,07-Nov-21,Signature,Medical,F,555220,24
127,12-Feb-22,Silver,Medical,F,952640,21
9,23-Nov-21,Silver,Medical,F,695749,29
397,02-May-22,Platinum,Medical,F,365724,25
397,16-Jul-22,Platinum,Medical,F,738108,29
9,17-Mar-22,Platinum,Medical,F,650785,21
127,17-Dec-21,Signature,Medical,F,611486,28
72,25-Nov-21,Platinum,Medical,F,965721,25
9,23-Mar-22,Gold,Medical,F,413052,24
9,26-Apr-22,Silver,Medical,F,584822,29
9,13-Jul-22,Gold,Medical,F,980146,21
9,15-Aug-21,Signature,Medical,F,926072,24
127,19-Sep-21,Silver,Medical,F,482394,28
72,27-Dec-21,Signature,Medical,F,718346,25
72,02-Sep-21,Silver,Medical,F,491598,21
127,14-Sep-21,Platinum,Medical,F,848852,27
72,25-Jun-22,Gold,Medical,F,396139,30
9,22-Dec-21,Signature,Medical,F,856974,30
9,28-Dec-21,Signature,Medical,F,855990,29
127,22-Sep-21,Signature,Medical,F,924776,27
397,25-Jan-22,Signature,Medical,F,204850,31
127,22-Feb-22,Platinum,Medical,F,780669,27
397,27-Oct-21,Signature,Medical,F,887442,26
127,15-Sep-21,Signature,Medical,F,297820,26
127,13-Nov-21,Signature,Medical,F,687879,25
397,16-Dec-21,Silver,Medical,F,738456,28
127,12-Jan-22,Platinum,Medical,F,378535,24
397,19-Oct-21,Silver,Medical,F,334116,22
127,05-May-22,Silver,Medical,F,772360,31
9,28-Oct-21,Gold,Medical,F,580796,31
397,20-Jun-22,Silver,Medical,F,855465,31
397,07-Oct-21,Gold,Medical,F,978989,30
9,08-Feb-22,Gold,Medical,F,451874,30
9,03-Jan-22,Silver,Medical,F,670750,20
72,02-Jul-22,Signature,Medical,F,977951,21
127,30-Sep-21,Platinum,Medical,F,403466,21
127,14-Feb-22,Signature,Medical,F,861177,23
9,15-Jun-22,Gold,Medical,F,528612,31
9,01-Sep-21,Signature,Medical,F,339670,27
127,11-Oct-21,Signature,Medical,F,963751,22
9,02-Sep-21,Gold,Medical,F,761930,23
9,04-May-22,Signature,Medical,F,852806,25
127,09-Oct-21,Signature,Medical,F,207755,31
397,09-Feb-22,Gold,Medical,F,489540,25
9,28-Jul-21,Silver,Medical,F,274395,22
72,29-Apr-22,Platinum,Medical,F,566945,28
9,18-Dec-21,Gold,Medical,F,705690,20
72,19-Oct-21,Gold,Medical,F,894888,31
397,19-Jun-22,Platinum,Medical,F,811899,23
397,15-Feb-22,Silver,Medical,F,677645,21
397,16-Jun-22,Platinum,Medical,F,326162,24
127,18-Mar-22,Platinum,Medical,F,316946,28
127,20-Jul-22,Platinum,Medical,F,622373,30
72,27-Apr-22,Signature,Medical,F,640653,31
9,13-Dec-21,Signature,Medical,F,745493,27
127,14-Jul-22,Gold,Medical,F,868021,26
127,15-Mar-22,Platinum,Medical,F,284923,29
72,23-Mar-22,Platinum,Medical,F,814422,23
72,07-Oct-21,Gold,Medical,F,599741,20
9,26-Mar-22,Platinum,Medical,F,804560,23
9,27-Aug-21,Gold,Medical,F,996291,27
9,27-Sep-21,Platinum,Medical,F,477553,30
127,20-Aug-21,Gold,Medical,F,216028,21
397,18-Sep-21,Signature,Medical,F,275427,31
127,12-Mar-22,Silver,Medical,F,722048,29
127,12-Oct-21,Silver,Medical,F,292365,23
9,21-Jan-22,Silver,Medical,F,400393,27
397,16-Oct-21,Platinum,Medical,F,219720,31
127,12-Jun-22,Signature,Medical,F,981404,31
72,18-Apr-22,Signature,Medical,F,639670,24
72,16-Oct-21,Gold,Medical,F,814333,29
9,29-Jul-21,Gold,Medical,F,569582,30
9,09-Jul-22,Gold,Medical,F,954111,26
9,15-Feb-22,Gold,Medical,F,635267,24
127,15-Nov-21,Gold,Medical,F,393651,22
9,01-Dec-21,Platinum,Medical,F,572306,31
9,10-Jul-22,Silver,Medical,F,407647,25
397,26-Sep-21,Gold,Medical,F,734396,21
127,08-Sep-21,Platinum,Medical,F,224414,20
9,13-Jul-22,Signature,Medical,F,203194,21
397,18-Apr-22,Gold,Medical,F,250410,20
127,09-Oct-21,Silver,Medical,F,830697,25
397,17-Oct-21,Platinum,Medical,F,790800,29
397,22-Jul-21,Silver,Medical,F,638570,30
397,12-Sep-21,Silver,Medical,F,380409,25
397,09-May-22,Gold,Medical,F,601631,26
9,03-May-22,Gold,Medical,F,690534,28
9,23-Jul-21,Silver,Medical,F,423661,28
397,06-Feb-22,Silver,Medical,F,936294,25
72,14-Oct-21,Platinum,Medical,F,537050,29
127,07-Jul-22,Silver,Medical,F,899343,29
397,06-Mar-22,Platinum,Medical,F,834691,28
9,02-Oct-21,Silver,Medical,F,240216,27
397,10-Mar-22,Signature,Medical,F,424370,31
127,20-Mar-22,Silver,Medical,F,593991,29
397,02-Jul-22,Signature,Medical,F,768467,22
127,30-Jan-22,Gold,Medical,F,781959,22
72,19-Nov-21,Platinum,Medical,F,553907,30
72,20-Jul-22,Platinum,Medical,F,308622,30
397,15-Apr-22,Signature,Medical,F,912334,21
127,06-Oct-21,Silver,Medical,F,586474,26
127,20-Apr-22,Gold,Medical,F,521237,24
127,29-Sep-21,Signature,Medical,F,446266,28
397,20-Apr-22,Platinum,Medical,F,511168,27
72,27-Jun-22,Signature,Medical,F,608438,25
127,20-Nov-21,Gold,Medical,F,973519,22
127,29-May-22,Platinum,Medical,F,688577,20
72,18-Aug-21,Silver,Medical,F,686619,30
397,20-Feb-22,Signature,Medical,F,255982,23
397,26-Aug-21,Signature,Medical,F,464656,21
127,14-May-22,Signature,Medical,F,212319,23
397,15-Dec-21,Platinum,Medical,F,307563,20
127,30-Sep-21,Silver,Medical,F,407564,23
72,11-Dec-21,Signature,Medical,F,331349,20
127,04-Jul-22,Silver,Medical,F,391325,20
9,14-Aug-21,Silver,Medical,F,530244,27
397,09-Apr-22,Signature,Medical,F,668736,22
72,04-May-22,Gold,Medical,F,517448,30
9,13-Jun-22,Platinum,Medical,F,788531,28
9,10-Jun-22,Gold,Medical,F,474729,30
72,13-Oct-21,Platinum,Medical,F,590841,24
397,06-Dec-21,Platinum,Medical,F,608427,29
127,05-Mar-22,Silver,Medical,F,719835,24
127,10-Feb-22,Signature,Medical,F,375139,22
72,12-Sep-21,Platinum,Medical,F,229589,21
72,05-Mar-22,Signature,Medical,F,376453,27
127,18-Apr-22,Signature,Medical,F,360009,25
9,19-Feb-22,Signature,Medical,F,770346,24
397,06-Nov-21,Signature,Medical,F,489043,24
72,01-Dec-21,Platinum,Medical,F,503037,25
397,26-Jul-21,Platinum,Medical,F,731261,25
9,29-Apr-22,Signature,Medical,F,262755,20
397,02-Oct-21,Gold,Medical,F,825475,20
397,25-Nov-21,Platinum,Medical,F,922630,27
127,04-Mar-22,Gold,Medical,F,752172,21
9,28-Aug-21,Gold,Medical,F,418009,25
127,09-Apr-22,Signature,Medical,F,994537,25
397,21-Mar-22,Silver,Medical,F,922206,24
397,20-Apr-22,Signature,Medical,F,389097,29
72,09-Apr-22,Signature,Medical,F,880778,20
397,30-Jan-22,Gold,Medical,F,327971,25
72,21-Jan-22,Signature,Medical,F,689201,26
72,22-Nov-21,Silver,Medical,F,792440,27
72,25-Mar-22,Signature,Medical,F,602222,30
9,25-Aug-21,Platinum,Medical,F,502399,22
9,27-Jan-22,Silver,Medical,F,272804,20
72,16-Jul-22,Platinum,Medical,F,613280,31
127,24-Oct-21,Signature,Medical,F,876491,20
72,08-Jul-22,Silver,Medical,F,820217,28
397,28-May-22,Signature,Medical,F,994184,25
9,02-Aug-21,Platinum,Medical,F,515263,20
9,27-Nov-21,Signature,Medical,F,338527,31
9,02-Oct-21,Silver,Medical,F,934683,21
9,03-Apr-22,Signature,Medical,F,454570,31
397,18-Oct-21,Gold,Medical,F,654519,22
9,08-Mar-22,Gold,Medical,F,958047,29
72,06-Nov-21,Silver,Medical,F,465281,27
9,28-Jul-21,Signature,Medical,F,653161,22
9,11-Sep-21,Gold,Medical,F,307350,30
397,25-Feb-22,Silver,Medical,F,41002,28
72,29-Jul-21,Silver,Medical,F,34743,22
72,16-Apr-22,Signature,Medical,F,195589,23
72,01-Dec-21,Signature,Medical,F,204735,27
9,08-Sep-21,Signature,Medical,F,118112,28
397,03-Oct-21,Platinum,Medical,F,61572,27
127,16-Jan-22,Gold,Medical,F,274938,23
397,04-Jan-22,Signature,Medical,F,43854,25
127,22-Feb-22,Gold,Medical,F,8798,26
397,29-Jul-21,Gold,Medical,F,192241,25
72,24-Feb-22,Silver,Medical,F,128164,23
127,16-Apr-22,Signature,Medical,F,249061,24
397,10-Aug-21,Gold,Medical,F,275283,31
397,06-Dec-21,Platinum,Medical,F,172194,26
9,29-Aug-21,Gold,Medical,F,13162,25
72,05-Mar-22,Platinum,Medical,F,3427,29
72,22-Feb-22,Gold,Medical,F,171374,26
127,24-May-22,Signature,Medical,F,286251,26
9,15-Dec-21,Platinum,Medical,F,123417,20
127,09-Apr-22,Silver,Medical,F,81088,28
9,15-Feb-22,Signature,Medical,F,64113,29
72,30-Jul-21,Platinum,Medical,F,54374,23
9,07-Feb-22,Signature,Medical,F,175515,31
127,16-May-22,Gold,Medical,F,78773,22
72,07-May-22,Signature,Medical,F,143515,21
127,11-Jul-22,Silver,Medical,F,263613,23
397,26-Jan-22,Platinum,Medical,F,265434,31
127,08-Sep-21,Signature,Medical,F,87839,26
127,07-Aug-21,Signature,Medical,F,60905,23
127,13-Apr-22,Platinum,Medical,F,199726,23
127,10-Apr-22,Silver,Medical,F,267896,31
9,11-Sep-21,Gold,Medical,F,198937,30
397,31-Jan-22,Gold,Medical,F,90745,23
397,09-Oct-21,Silver,Medical,F,86676,28
397,13-Jan-22,Platinum,Medical,F,163574,26
397,25-Feb-22,Signature,Medical,F,2138,29
72,11-Aug-21,Silver,Medical,F,253749,27
127,09-Mar-22,Platinum,Medical,F,60187,23
72,23-Aug-21,Platinum,Medical,F,15566,30
397,17-May-22,Signature,Medical,F,242144,24
127,23-Sep-21,Platinum,Medical,F,114049,28
72,10-Oct-21,Gold,Medical,F,100992,22
127,12-Mar-22,Silver,Medical,F,173017,23
397,20-Nov-21,Gold,Medical,F,279567,21
127,14-Jul-22,Signature,Medical,F,25016,22
127,03-May-22,Silver,Medical,F,157982,27
72,19-Dec-21,Signature,Medical,F,240387,30
127,21-Jan-22,Platinum,Medical,F,134030,21
72,12-Nov-21,Gold,Medical,F,108651,22
127,02-Jun-22,Gold,Medical,F,138617,26
72,07-Nov-21,Signature,Medical,F,98963,27
127,03-Apr-22,Silver,Medical,F,25486,29
127,04-Sep-21,Gold,Medical,F,231140,20
9,07-May-22,Gold,Medical,F,20032,28
397,16-Aug-21,Gold,Medical,F,293938,24
127,18-Oct-21,Silver,Medical,F,88175,23
9,11-Dec-21,Platinum,Medical,F,105297,28
127,01-Feb-22,Platinum,Medical,F,129169,25
397,03-Jul-22,Signature,Medical,F,172386,28
397,07-Feb-22,Platinum,Medical,F,46369,26
397,04-May-22,Silver,Medical,F,158636,31
127,25-Aug-21,Signature,Medical,F,87219,24
127,20-Dec-21,Gold,Medical,F,183445,22
72,29-Nov-21,Silver,Medical,F,147977,22
9,17-Jan-22,Platinum,Medical,F,243279,25
72,15-Jan-22,Platinum,Medical,F,243950,23
127,19-Apr-22,Silver,Medical,F,32548,20
127,31-Mar-22,Platinum,Medical,F,118126,22
397,01-Dec-21,Platinum,Medical,F,13325,29
397,28-Nov-21,Gold,Medical,F,295055,23
397,17-Sep-21,Platinum,Medical,F,64764,21
72,07-Feb-22,Platinum,Medical,F,174520,20
127,25-Jun-22,Signature,Medical,F,72763,22
397,15-Nov-21,Signature,Medical,F,269809,23
127,03-Jun-22,Silver,Medical,F,81145,22
9,03-Nov-21,Silver,Medical,F,25948,31
397,27-Oct-21,Silver,Medical,F,120188,25
397,18-Apr-22,Signature,Medical,F,8259,24
127,18-Jun-22,Signature,Medical,F,285830,27
72,29-Apr-22,Gold,Medical,F,67039,22
9,07-Jan-22,Gold,Medical,F,14370,31
9,28-Mar-22,Platinum,Medical,F,54304,24
397,04-Feb-22,Gold,Medical,F,188856,20
9,03-Nov-21,Gold,Medical,F,44635,31
397,10-Nov-21,Platinum,Medical,F,227273,28
127,30-Jul-21,Gold,Medical,F,234200,23
127,21-Dec-21,Signature,Medical,F,79053,29
397,20-Jul-22,Silver,Medical,F,49711,26
397,19-Sep-21,Signature,Medical,F,203463,30
72,09-Aug-21,Signature,Medical,F,196985,28
397,18-Apr-22,Gold,Medical,F,246457,20
127,04-Jan-22,Platinum,Medical,F,88344,23
72,09-Jun-22,Signature,Medical,F,167457,30
72,14-Jul-22,Gold,Medical,F,254598,27
127,18-Sep-21,Platinum,Medical,F,102486,21
397,12-Mar-22,Silver,Medical,F,159428,23
72,01-Mar-22,Platinum,Medical,F,296987,26
9,03-Sep-21,Signature,Medical,F,89418,20
127,07-Feb-22,Signature,Medical,F,77247,30
72,28-Apr-22,Gold,Medical,F,66542,28
397,09-Mar-22,Silver,Medical,F,194526,20
72,18-Jan-22,Signature,Medical,F,178119,29
72,05-May-22,Gold,Medical,F,258653,21
127,27-Jun-22,Silver,Medical,F,97425,23
127,01-Jun-22,Gold,Medical,F,223185,22
397,19-Dec-21,Gold,Medical,F,224750,25
9,17-Dec-21,Signature,Medical,F,103363,26
397,30-Aug-21,Platinum,Medical,F,49090,27
72,23-Oct-21,Platinum,Medical,F,140584,28
127,19-Aug-21,Platinum,Medical,F,61272,25
127,27-Sep-21,Silver,Medical,F,25200,23
397,28-Jul-21,Signature,Medical,F,249893,31
72,09-Jul-22,Gold,Medical,F,91325,21
397,13-Jul-22,Silver,Medical,F,81641,21
397,15-Mar-22,Platinum,Medical,F,267700,28
397,11-Jun-22,Silver,Food,F,193429,22
9,23-May-22,Gold,Food,F,97674,26
72,05-May-22,Silver,Food,F,222579,22
72,13-Feb-22,Platinum,Food,F,194846,25
397,29-Jan-22,Signature,Food,F,62690,28
397,27-Dec-21,Signature,Food,F,225614,23
9,04-Oct-21,Signature,Food,F,13879,26
9,19-Jun-22,Gold,Food,F,279579,29
72,01-Jun-22,Gold,Food,F,253183,23
72,02-Jan-22,Signature,Food,F,183197,23
72,21-Apr-22,Gold,Food,F,260046,28
72,18-Aug-21,Gold,Food,F,95981,31
72,23-Aug-21,Gold,Food,F,157399,25
127,13-May-22,Signature,Food,F,140041,28
9,29-Nov-21,Platinum,Food,F,288339,20
9,29-Dec-21,Platinum,Food,F,49494,24
72,16-Sep-21,Platinum,Food,F,43954,20
72,17-Jul-22,Platinum,Food,F,35543,22
397,02-Aug-21,Signature,Food,F,12982,25
127,13-Apr-22,Platinum,Food,F,213140,25
397,16-Sep-21,Platinum,Food,F,95741,20
72,02-Dec-21,Platinum,Food,F,129144,29
9,03-Apr-22,Gold,Food,F,115551,21
72,15-Jun-22,Gold,Food,F,57961,24
9,12-Jun-22,Silver,Food,F,209527,20
9,07-Aug-21,Gold,Food,F,15892,27
72,15-Sep-21,Signature,Food,F,155659,25
397,29-Oct-21,Silver,Food,F,246215,22
397,06-Mar-22,Signature,Food,F,149465,21
9,11-Nov-21,Gold,Food,F,259694,28
127,07-Oct-21,Silver,Food,F,70009,29
397,30-Dec-21,Gold,Food,F,233391,22
9,19-Feb-22,Silver,Food,F,35002,28
9,24-Jan-22,Silver,Food,F,156519,31
72,21-Aug-21,Gold,Food,F,286786,24
72,20-Nov-21,Signature,Food,F,173244,25
72,22-May-22,Platinum,Food,F,195804,28
9,10-Jul-22,Platinum,Food,F,162827,30
72,28-Jan-22,Signature,Food,F,20036,25
72,11-Jul-22,Signature,Food,F,266125,26
397,21-Jun-22,Signature,Food,F,156531,28
9,05-Mar-22,Signature,Food,F,288673,25
9,05-Jul-22,Signature,Food,F,67474,31
127,04-Dec-21,Platinum,Food,F,220674,30
397,26-Jul-21,Gold,Food,F,282988,28
72,14-Dec-21,Signature,Food,F,206308,21
72,09-Dec-21,Platinum,Food,F,243074,25
9,31-Jan-22,Signature,Food,F,247181,25
397,12-Dec-21,Signature,Food,F,111842,20
127,19-Mar-22,Gold,Food,F,277079,25
127,12-Jul-22,Silver,Food,F,218638,22
9,16-Nov-21,Gold,Food,F,152216,31
127,21-Aug-21,Signature,Food,F,42620,30
9,12-Sep-21,Gold,Food,F,101639,24
397,23-May-22,Silver,Food,F,102966,22
72,05-Sep-21,Platinum,Food,F,127650,30
397,15-Dec-21,Platinum,Food,F,277737,31
72,01-Feb-22,Signature,Food,F,251805,25
9,14-Dec-21,Signature,Food,F,288284,26
72,11-Apr-22,Gold,Food,F,125290,24
72,01-Jun-22,Silver,Food,F,166602,20
9,16-May-22,Silver,Food,F,219097,25
72,05-Sep-21,Gold,Food,F,34082,21
72,22-Jan-22,Silver,Food,F,20573,21
72,13-Feb-22,Platinum,Food,F,245056,30
9,18-Sep-21,Signature,Food,F,131847,25
127,17-Nov-21,Platinum,Food,F,276873,23
72,30-Sep-21,Silver,Food,F,138342,28
9,28-Jul-21,Signature,Food,F,137292,21
9,12-Jul-22,Signature,Food,F,147750,22
72,12-May-22,Signature,Food,F,2397,22
72,30-Oct-21,Gold,Food,F,31051,29
127,21-Jan-22,Signature,Food,F,55137,25
397,23-Mar-22,Gold,Food,F,136040,25
9,09-Jul-22,Platinum,Food,F,181721,22
127,03-Sep-21,Signature,Food,F,81753,26
9,28-Jan-22,Platinum,Food,F,266386,20
9,15-Oct-21,Silver,Food,F,259008,30
397,31-Jan-22,Silver,Food,F,250995,23
127,25-Feb-22,Signature,Food,F,232155,25
397,26-Dec-21,Silver,Food,F,48012,27
127,02-Jul-22,Signature,Food,F,296543,20
397,28-Jan-22,Signature,Food,F,246893,26
9,29-Jun-22,Platinum,Food,F,95807,24
9,11-Apr-22,Platinum,Food,F,165278,24
9,30-Nov-21,Silver,Food,F,191618,27
397,16-May-22,Silver,Food,F,159718,28
9,09-Nov-21,Gold,Food,F,213552,23
397,15-Jun-22,Gold,Food,F,249061,24
127,28-Jun-22,Silver,Food,F,279377,27
