ID,CLASSE,ETAB,SCOLFR,CHAMBRE,DEVOIRS,VACANCES,PARVENS,vitparent_corr,vitautre_corr,TEL,TRADS_PERE,TRADS_MERE,OCCUP,VAISSELLE,PARTICIPATION,EDUC,HEURE,HABITS,DORMIR,QUESTIONS,REPRENDRE,TELCOURS,RESEAUXSOCIAUX,TEMPSRS,USAGES,tempsetude_corr,ACTEXTRA,LOISIR_01,LOISIR_02,LOISIR_03,LOISIR_04,LOISIR_05,LOISIR_06,LOISIR_07,LOISIR_08,GENRE,type_etab
538269188,4ème,Miriam Makeba,Oui,Non,Oui,Sans réponse,Oui,Oui,,Oui,Tout à fait d'accord,Tout à fait d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Fréquemment,"Non, les filles font plus",Non,Avant le dîner,Oui,"Non, je n'ai pas le droit de dormir ailleurs","Oui, souvent","Oui, tous les jours","Oui, de temps en temps",Plus de 3h,Ne rien changer à ton utilisation ?,"Poster du contenu (post Insta, vidéo Tiktok, ...)",60.0,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Une fille,collège
75577789,4ème,Miriam Makeba,Oui,Ça dépend,Oui,1 fois,Oui,Oui,,Oui,Tout à fait d'accord,Tout à fait d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Rarement,"Non, les filles font plus",Non,Avant la tombée de la nuit,Oui,"Non, je n'ai pas le droit de dormir ailleurs","Oui, souvent","Oui, tous les jours",Jamais ou très rarement,Entre 1 et 3h,Passer plus de temps sur les réseaux sociaux ?,"Poster du contenu (post Insta, vidéo Tiktok, ...)",280.0,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Non,Un garçon,collège
1217001568,4ème,Miriam Makeba,Oui,Non,Non,Jamais,Non,,Chez ta mère (ou tutrice),Non,Je ne sais pas,Je ne sais pas,Toujours ma mère (ou tutrice),Fréquemment,"Non, les filles font plus",Oui,Avant la tombée de la nuit,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, souvent",Jamais ou très rarement,Jamais ou très rarement,Plus de 3h,Passer moins de temps sur les réseaux sociaux ?,Me divertir (regarder du contenu audiovisuel),60.0,Sans réponse,Non,Non,Non,Non,Non,Non,Non,Oui,Une fille,collège
2080072328,4ème,Miriam Makeba,Oui,Oui,Oui,Jamais,Oui,Oui,,Oui,Tout à fait d'accord,Tout à fait d'accord,Toujours ma mère (ou tutrice),Fréquemment,Sans réponse,Oui,Avant la tombée de la nuit,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, souvent",Jamais ou très rarement,Jamais ou très rarement,Plus de 3h,Passer moins de temps sur les réseaux sociaux ?,Me divertir (regarder du contenu audiovisuel),60.0,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Une fille,collège
1379319369,4ème,Miriam Makeba,Oui,Non,Oui,1 fois,Oui,Oui,,Non,Pas d'accord,Tout à fait d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Fréquemment,"Oui, ils/elles participent autant",Je ne sais pas,Avant le dernier métro/bus,Sans réponse,Sans réponse,Très rarement,Jamais ou très rarement,Jamais ou très rarement,Entre 1 et 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),240.0,Oui,Non,Oui,Oui,Oui,Non,Non,Non,Non,Un garçon,collège
162714424,4ème,Miriam Makeba,Oui,Oui,Oui,1 fois,Oui,Oui,,Oui,Sans réponse,Sans réponse,Autant ma mère (ou tutrice) que mon père (ou tuteur),Rarement,"Oui, ils/elles participent autant",Oui,Pas d'heure limite de sortie,Oui,"Oui, quelle que soit la personne chez qui je vais dormir","Oui, souvent",Jamais ou très rarement,Jamais ou très rarement,Plus de 3h,Passer moins de temps sur les réseaux sociaux ?,Me divertir (regarder du contenu audiovisuel),150.0,Non,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Une fille,collège
187541926,2nde,Hélène Boucher,Oui,Ça dépend,Oui,1 fois,Oui,Oui,,Oui,Tout à fait d'accord,Tout à fait d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Fréquemment,"Oui, ils/elles participent autant",Je ne sais pas,Avant le dîner,Oui,Sans réponse,Très rarement,Jamais ou très rarement,Jamais ou très rarement,Plus de 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),180.0,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Non,Un garçon,lycée
979519362,4ème,Miriam Makeba,Oui,Non,Oui,2 fois,Oui,Oui,,Oui,Tout à fait d'accord,Tout à fait d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Rarement,"Oui, ils/elles participent autant",Je ne sais pas,Avant la tombée de la nuit,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, de temps en temps","Oui, de temps en temps, par exemple, une fois par semaine",Jamais ou très rarement,Plus de 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),310.0,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Un garçon,collège
933676120,4ème,Miriam Makeba,Oui,Non,Ça dépend,3 fois ou plus,Non,,Chez ta mère (ou tutrice),Oui,Tout à fait d'accord,Tout à fait d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Tous les jours,"Non, les filles font plus",Non,Avant la tombée de la nuit,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, souvent",Jamais ou très rarement,"Oui, de temps en temps",Entre 1 et 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),10.0,Non,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Une fille,collège
765912862,4ème,Miriam Makeba,Oui,Ça dépend,Oui,1 fois,Non,,Chez ton père (ou tuteur),Oui,Je ne sais pas,Je ne sais pas,Autant ma mère (ou tutrice) que mon père (ou tuteur),Rarement,Je ne sais pas,Je ne sais pas,Avant le dîner,Sans réponse,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,Très rarement,"Oui, de temps en temps, par exemple, une fois par semaine",Jamais ou très rarement,Moins d'1h,Ne rien changer à ton utilisation ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",150.0,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Un garçon,collège
1716625201,1ère,Henri Bergson,Oui,Oui,Oui,3 fois ou plus,Non,Oui,En partie chez l'un et chez l'autre,Oui,Pas du tout d'accord,Pas du tout d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Rarement,Je ne sais pas,Oui,Avant le dîner,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,Jamais,Jamais ou très rarement,Jamais ou très rarement,Je ne les utilise pas,Passer plus de temps sur les réseaux sociaux ?,"M'informer, travailler",110.0,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Un garçon,lycée
477108208,2nde,Henri Bergson,Oui,Oui,Oui,2 fois,Oui,Oui,,Oui,Je ne sais pas,Je ne sais pas,Le plus souvent ma mère (ou tutrice),Jamais,"Non, les filles font plus",Non,Avant la tombée de la nuit,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,Très rarement,Jamais ou très rarement,Jamais ou très rarement,Plus de 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),780.0,Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Une fille,lycée
197226658,4ème,Miriam Makeba,Non,Non,Oui,1 fois,Oui,Oui,,Oui,Je ne sais pas,Je ne sais pas,Le plus souvent ma mère (ou tutrice),Fréquemment,"Non, les filles font plus",Non,Avant la tombée de la nuit,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,Jamais,Jamais ou très rarement,Jamais ou très rarement,Plus de 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),780.0,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Non,Une fille,collège
1514650808,4ème,Miriam Makeba,Oui,Non,Oui,1 fois,Oui,Oui,,Oui,Tout à fait d'accord,Tout à fait d'accord,Le plus souvent ma mère (ou tutrice),Fréquemment,Je ne sais pas,Non,Avant la tombée de la nuit,Non,"Non, je n'ai pas le droit de dormir ailleurs",Très rarement,Jamais ou très rarement,Jamais ou très rarement,Plus de 3h,Passer plus de temps sur les réseaux sociaux ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",80.0,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Une fille,collège
133568939,4ème,Miriam Makeba,Oui,Non,Non,Jamais,Sans réponse,Oui,En partie chez l'un et chez l'autre,Oui,Pas d'accord,Pas d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Tous les jours,Je ne sais pas,Je ne sais pas,Avant le dîner,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,Jamais,Jamais ou très rarement,"Oui, de temps en temps",Plus de 3h,Passer moins de temps sur les réseaux sociaux ?,Me divertir (regarder du contenu audiovisuel),,Non,Non,Oui,Non,Non,Non,Oui,Non,Oui,Un garçon,collège
699161993,4ème,Miriam Makeba,Oui,Non,Oui,Jamais,Oui,Oui,,Oui,Pas d'accord,Pas d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Fréquemment,Je ne sais pas,Je ne sais pas,Avant la tombée de la nuit,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,Très rarement,"Oui, de temps en temps, par exemple, une fois par semaine",Jamais ou très rarement,Plus de 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),100.0,Non,Non,Non,Non,Oui,Non,Non,Oui,Oui,Un garçon,collège
925097310,4ème,Miriam Makeba,Oui,Non,Oui,3 fois ou plus,Non,,Chez ta mère (ou tutrice),Oui,Pas du tout d'accord,Pas du tout d'accord,Sans réponse,Rarement,"Non, les filles font plus",Oui,Sans réponse,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, souvent",Sans réponse,Jamais ou très rarement,Entre 1 et 3h,Sans réponse,Sans réponse,10.0,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Une fille,collège
2100901498,4ème,Miriam Makeba,Oui,Non,Ça dépend,2 fois,Oui,Oui,,Oui,Ni d'accord ni pas d'accord,Ni d'accord ni pas d'accord,Le plus souvent ma mère (ou tutrice),Fréquemment,"Non, les filles font plus",Je ne sais pas,Avant la tombée de la nuit,Oui,Seulement si c'est une personne du même genre que moi,"Oui, de temps en temps","Oui, de temps en temps, par exemple, une fois par semaine",Jamais ou très rarement,Plus de 3h,Passer moins de temps sur les réseaux sociaux ?,Me divertir (regarder du contenu audiovisuel),15.0,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Une fille,collège
92299181,3ème,Miriam Makeba,Oui,Non,Ça dépend,2 fois,Non,,Chez ta mère (ou tutrice),Oui,D'accord,Tout à fait d'accord,Toujours ma mère (ou tutrice),Tous les jours,"Non, les filles font plus",Non,Je n'ai pas le droit de sortir,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, de temps en temps","Oui, tous les jours","Oui, tout le temps",Plus de 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),305.0,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Une fille,collège
673773061,3ème,Miriam Makeba,Non,Non,Ça dépend,3 fois ou plus,Oui,Oui,,Oui,Je ne sais pas,Tout à fait d'accord,Le plus souvent ma mère (ou tutrice),Fréquemment,"Non, les filles font plus",Non,Avant le dîner,Oui,"Non, je n'ai pas le droit de dormir ailleurs",Très rarement,"Oui, de temps en temps, par exemple, une fois par semaine","Oui, de temps en temps",Plus de 3h,Ne rien changer à ton utilisation ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",630.0,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Une fille,collège
1838652553,3ème,Miriam Makeba,Oui,Oui,Oui,1 fois,Oui,Oui,,Oui,Pas du tout d'accord,Pas du tout d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Tous les jours,"Oui, ils/elles participent autant",Oui,Avant la tombée de la nuit,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, souvent",Jamais ou très rarement,Jamais ou très rarement,Entre 1 et 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),180.0,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Une fille,collège
1184620716,3ème,Miriam Makeba,Oui,Oui,Oui,1 fois,Oui,Oui,,Oui,Pas du tout d'accord,Pas du tout d'accord,Le plus souvent ma mère (ou tutrice),Rarement,"Oui, ils/elles participent autant",Oui,Avant le dîner,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, de temps en temps","Oui, de temps en temps, par exemple, une fois par semaine","Oui, de temps en temps",Entre 1 et 3h,Ne rien changer à ton utilisation ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",300.0,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Un garçon,collège
10835407,4ème,Miriam Makeba,Oui,Oui,Oui,Jamais,Oui,Oui,,Oui,Tout à fait d'accord,Je ne sais pas,Autant ma mère (ou tutrice) que mon père (ou tuteur),Tous les jours,"Non, les filles font plus",Je ne sais pas,Avant la tombée de la nuit,Sans réponse,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, de temps en temps","Oui, de temps en temps, par exemple, une fois par semaine",Jamais ou très rarement,Plus de 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),20.0,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Une fille,collège
529001423,3ème,Miriam Makeba,Oui,Oui,Ça dépend,1 fois,Oui,Oui,,Oui,Tout à fait d'accord,Ni d'accord ni pas d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Jamais,"Oui, ils/elles participent autant",Non,Je n'ai pas le droit de sortir,Oui,"Non, je n'ai pas le droit de dormir ailleurs","Oui, de temps en temps",Jamais ou très rarement,Jamais ou très rarement,Entre 1 et 3h,Passer moins de temps sur les réseaux sociaux ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",60.0,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Un garçon,collège
718677876,3ème,Miriam Makeba,Oui,Oui,Oui,1 fois,Oui,Sans réponse,,Oui,Sans réponse,Sans réponse,Sans réponse,Jamais,"Oui, ils/elles participent autant",Non,Sans réponse,Sans réponse,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, de temps en temps","Oui, de temps en temps, par exemple, une fois par semaine",Jamais ou très rarement,Entre 1 et 3h,Passer plus de temps sur les réseaux sociaux ?,"Poster du contenu (post Insta, vidéo Tiktok, ...)",30.0,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Un garçon,collège
1046066633,3ème,Miriam Makeba,Oui,Oui,Oui,Jamais,Oui,Oui,,Oui,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,Sans réponse,,Sans réponse,Non,Non,Non,Non,Non,Non,Non,Non,Un garçon,collège
975801820,3ème,Miriam Makeba,Oui,Oui,Ça dépend,Jamais,Non,,Chez ta mère (ou tutrice),Oui,Je ne sais pas,Je ne sais pas,Toujours ma mère (ou tutrice),Rarement,Je ne sais pas,Oui,Sans réponse,Oui,"Non, je n'ai pas le droit de dormir ailleurs","Oui, de temps en temps",Jamais ou très rarement,Jamais ou très rarement,Entre 1 et 3h,Passer moins de temps sur les réseaux sociaux ?,Me divertir (regarder du contenu audiovisuel),180.0,Non,Non,Oui,Oui,Non,Oui,Non,Non,Non,Une fille,collège
974714233,3ème,Miriam Makeba,Non,Oui,Oui,1 fois,Oui,Non,,Oui,Tout à fait d'accord,Tout à fait d'accord,Le plus souvent ma mère (ou tutrice),Rarement,"Non, les filles font plus",Je ne sais pas,Avant la tombée de la nuit,Oui,Seulement si c'est une personne du même genre que moi,"Oui, de temps en temps",Jamais ou très rarement,Jamais ou très rarement,Plus de 3h,Passer plus de temps sur les réseaux sociaux ?,"M'informer, travailler",250.0,Oui,Non,Oui,Non,Non,Non,Oui,Non,Non,Un garçon,collège
364025330,1ère,Henri Bergson,Oui,Oui,Oui,3 fois ou plus,Oui,Oui,,Oui,Tout à fait d'accord,Tout à fait d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Tous les jours,"Non, les filles font plus",Non,Pas d'heure limite de sortie,Oui,"Non, je n'ai pas le droit de dormir ailleurs","Oui, de temps en temps","Oui, de temps en temps, par exemple, une fois par semaine",Jamais ou très rarement,Plus de 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),330.0,Sans réponse,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Un garçon,lycée
812769528,2nde,Henri Bergson,Non,Ça dépend,Ça dépend,2 fois,Oui,Non,,Oui,D'accord,D'accord,Toujours ma mère (ou tutrice),Fréquemment,Je ne sais pas,Non,Pas d'heure limite de sortie,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, de temps en temps","Oui, de temps en temps, par exemple, une fois par semaine",Jamais ou très rarement,Entre 1 et 3h,Ne rien changer à ton utilisation ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",120.0,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Un garçon,lycée
287259184,1ère,Henri Bergson,Oui,Non,Non,1 fois,Oui,Oui,,Oui,Tout à fait d'accord,Tout à fait d'accord,Le plus souvent ma mère (ou tutrice),Rarement,"Non, les filles font plus",Non,Pas d'heure limite de sortie,Oui,Seulement si c'est une personne du même genre que moi,"Oui, de temps en temps",Jamais ou très rarement,"Oui, de temps en temps",Plus de 3h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),30.0,Non,Non,Non,Non,Non,Oui,Oui,Oui,Non,Une fille,lycée
210264587,1ère,Henri Bergson,Oui,Oui,Oui,Jamais,Oui,Oui,,Oui,D'accord,Tout à fait d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Rarement,"Oui, ils/elles participent autant",Non,Pas d'heure limite de sortie,Oui,"Non, je n'ai pas le droit de dormir ailleurs","Oui, de temps en temps",Jamais ou très rarement,Jamais ou très rarement,Moins d'1h,Ne rien changer à ton utilisation ?,Me divertir (regarder du contenu audiovisuel),90.0,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Un garçon,lycée
508533797,1ère,Henri Bergson,Non,Non,Ça dépend,Sans réponse,Oui,Oui,,Oui,Ni d'accord ni pas d'accord,Ni d'accord ni pas d'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Fréquemment,Je ne sais pas,Je ne sais pas,Avant la tombée de la nuit,Non,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,Très rarement,"Oui, de temps en temps, par exemple, une fois par semaine","Oui, de temps en temps",Entre 1 et 3h,Passer moins de temps sur les réseaux sociaux ?,Sans réponse,150.0,Non,Non,Non,Oui,Non,Oui,Non,Oui,Non,Une fille,lycée
258993055,2nde,Henri Bergson,Oui,Non,Oui,2 fois,Oui,Oui,,Oui,D'accord,D'accord,Autant ma mère (ou tutrice) que mon père (ou tuteur),Fréquemment,"Oui, ils/elles participent autant",Je ne sais pas,Avant le dîner,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, de temps en temps",Jamais ou très rarement,"Oui, de temps en temps",Entre 1 et 3h,Ne rien changer à ton utilisation ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",300.0,Non,Non,Non,Oui,Non,Oui,Oui,Oui,Oui,Une fille,lycée
772031085,2nde,Henri Bergson,Non,Oui,Ça dépend,Jamais,Oui,Non,,Oui,Je ne sais pas,Ni d'accord ni pas d'accord,Quelqu'un d'autre,Tous les jours,"Oui, ils/elles participent autant",Non,Avant le dîner,Oui,"Non, je n'ai pas le droit de dormir ailleurs","Oui, de temps en temps",Jamais ou très rarement,Jamais ou très rarement,Entre 1 et 3h,Ne rien changer à ton utilisation ?,"Communiquer/échanger/organiser un événement (avec des proches, amis, camarades de classe, ...)",80.0,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Un garçon,lycée
737136193,2nde,Henri Bergson,Non,Non,Non,Jamais,Oui,Oui,,Oui,Je ne sais pas,Tout à fait d'accord,Toujours ma mère (ou tutrice),Fréquemment,"Oui, ils/elles participent autant",Non,Avant le dîner,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,"Oui, de temps en temps",Jamais ou très rarement,Jamais ou très rarement,Entre 1 et 3h,Passer moins de temps sur les réseaux sociaux ?,"M'informer, travailler",335.0,Oui,Non,Non,Oui,Non,Non,Non,Non,Non,Une fille,lycée
710835540,2nde,Henri Bergson,Oui,Non,Oui,1 fois,Oui,Oui,,Oui,Je ne sais pas,Je ne sais pas,Toujours ma mère (ou tutrice),Rarement,"Non, les filles font plus",Non,Avant la tombée de la nuit,Oui,Seulement si mes parents (ou tuteurs/tutrices) la ou le connaissent,Sans réponse,Jamais ou très rarement,Jamais ou très rarement,Entre 1 et 3h,Passer moins de temps sur les réseaux sociaux ?,Me divertir (regarder du contenu audiovisuel),240.0,Non,Non,Non,Oui,Non,Non,Oui,Oui,Non,Une fille,lycée
